City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Barranca,PE,-10.75,-77.7667,64.27400000000002,76,18,4.46,few clouds
239,Jales,BR,-20.2689,-50.5458,84.308,48,75,2.82,broken clouds
240,Camana,PE,-16.6228,-72.7111,65.84000000000003,70,0,3.18,clear sky
241,Kirillov,RU,59.863,38.3813,31.028000000000066,95,100,5.98,light snow
242,Aras,ES,42.5617,-2.356,54.75200000000008,94,20,0.51,mist
243,Quelimane,MZ,-17.8786,36.8883,75.90200000000007,83,0,2.69,clear sky
244,Koungou,YT,-12.7336,45.2042,78.51200000000006,78,100,5.66,overcast clouds
245,Rumuruti,KE,0.267,36.5389,59.61200000000006,83,10,3.09,clear sky
246,Torrington,US,41.8007,-73.1212,64.58000000000004,52,40,1.92,scattered clouds
247,Nyagan,RU,62.1406,65.3936,28.11200000000006,68,98,4.48,overcast clouds
248,Carutapera,BR,-1.195,-46.02,80.06000000000009,74,88,4.77,overcast clouds
249,Alhandra,BR,-7.4386,-34.9144,80.816,76,77,4.24,broken clouds
250,Misratah,LY,32.3754,15.0925,71.51000000000008,57,6,4.43,clear sky
251,Altay,CN,47.8667,88.1167,37.61600000000001,30,100,1.43,overcast clouds
252,Mana,GF,5.6592,-53.7767,79.592,87,100,2.92,overcast clouds
253,Matadi,CD,-5.8167,13.45,77.97200000000004,91,61,1.4,broken clouds
254,Ampanihy,MG,-24.7,44.75,78.06200000000007,51,1,4.26,clear sky
255,Paamiut,GL,61.994,-49.6678,28.65200000000008,62,100,3.38,overcast clouds
256,Richards Bay,ZA,-28.783,32.0377,72.48200000000003,84,100,6.85,light rain
257,Kyabe,TD,9.4515,18.9449,79.68200000000002,42,13,0.64,few clouds
258,Moose Factory,CA,51.2585,-80.6094,60.8,51,20,7.2,few clouds
259,Vila Velha,BR,-20.3297,-40.2925,78.74600000000005,87,40,8.75,scattered clouds
260,Talcahuano,CL,-36.7167,-73.1167,60.47600000000009,51,0,9.77,clear sky
261,Buchanan,LR,5.8808,-10.0467,78.38600000000008,87,100,2.87,light rain
262,Petroussa,GR,41.2,24.0167,59.75600000000003,45,0,2.01,clear sky
263,Faya,SA,18.3851,42.4509,60.908,36,97,2.81,overcast clouds
264,Kashirskoye,RU,51.4194,39.6125,46.11200000000006,70,100,8.16,light rain
265,Aguimes,ES,27.9054,-15.4461,70.66400000000004,83,20,7.2,few clouds
266,Asfi,MA,32.2994,-9.2372,73.77800000000008,39,6,1.6,clear sky
267,Taltal,CL,-25.4,-70.4833,61.98800000000004,69,23,1.1,few clouds
268,Cangucu,BR,-31.395,-52.6756,70.808,97,100,5.6,heavy intensity rain
269,Sosnovo,RU,60.5514,30.2144,34.17800000000007,59,5,6.35,clear sky
270,Buduslau,RO,47.4,22.2667,53.978000000000065,78,20,1.35,few clouds
271,Meulaboh,ID,4.1363,96.1285,74.73200000000003,93,100,2.66,heavy intensity rain
272,Sao Desiderio,BR,-12.3633,-44.9733,78.20600000000003,66,99,3.98,overcast clouds
273,Pirogovo,RU,56.7796,53.1495,37.65200000000008,96,100,5.39,overcast clouds
274,Magomeni,TZ,-6.8,39.25,77.37800000000007,88,20,3.6,few clouds
275,Lokosovo,RU,61.1333,74.8167,24.944000000000074,89,95,3.64,overcast clouds
276,La Asuncion,VE,11.0333,-63.8628,76.76600000000002,83,100,2.83,overcast clouds
277,Vardo,NO,70.3705,31.1107,35.582000000000015,80,75,9.77,broken clouds
278,Dunmore East,IE,52.1514,-6.9861,57.992,81,40,8.23,scattered clouds
279,Kulhudhuffushi,MV,6.6221,73.07,80.51000000000008,69,10,3.69,clear sky
280,Mehamn,NO,71.0357,27.8492,39.14600000000005,60,100,9.77,overcast clouds
281,Englewood,US,39.6478,-104.9878,62.11400000000003,20,100,0.89,overcast clouds
282,Igrim,RU,63.1906,64.4162,29.24600000000005,76,96,4.57,overcast clouds
283,Kondinskoye,RU,59.6481,67.41,27.01400000000003,67,100,5.6,overcast clouds
284,Kathmandu,NP,27.7167,85.3167,57.41600000000001,88,20,1.03,few clouds
285,Kutum,SD,14.2,24.6667,73.70600000000003,28,15,5.33,few clouds
286,Vestmannaeyjar,IS,63.4427,-20.2734,46.346000000000046,94,100,1.29,light rain
287,Tahoua,NE,14.8888,5.2692,78.63800000000005,13,0,5.2,clear sky
288,Nzega,RW,-2.479,29.5564,59.86400000000003,79,100,1.48,overcast clouds
289,Aswan,EG,24.0934,32.907,76.29800000000003,33,0,2.06,clear sky
290,Ormara,PK,25.2088,64.6357,78.80000000000001,71,1,4.75,clear sky
291,Saint-Pierre,RE,-21.3393,55.4781,73.90400000000005,78,0,2.06,clear sky
292,Selizharovo,RU,56.8519,33.4487,32.306000000000026,66,53,6.49,broken clouds
293,Alenquer,BR,-1.9417,-54.7383,89.15,44,100,1.73,overcast clouds
294,Pirgos,GR,35.1167,25.7178,65.62400000000002,63,8,3.55,clear sky
295,Svetlogorsk,BY,52.6333,29.7333,48.038000000000046,73,100,6.37,overcast clouds
296,Hamilton,US,39.1834,-84.5333,60.58399999999999,93,100,3.6,moderate rain
297,Viedma,AR,-40.8135,-62.9967,51.13399999999999,46,67,10.58,broken clouds
298,Qaqortoq,GL,60.7167,-46.0333,17.222000000000037,75,100,2.47,overcast clouds
299,Mecca,SA,21.4267,39.8261,81.71600000000001,65,53,1.9,broken clouds
300,Beloha,MG,-25.1667,45.05,75.00200000000008,59,2,5.26,clear sky
301,Japura,ID,-0.3167,102.35,73.34600000000006,99,100,1.18,light rain
302,Robertson,US,36.5167,-86.8667,65.39000000000001,91,100,4.63,overcast clouds
303,Yining,CN,29.0361,114.5636,54.21200000000006,89,0,0.98,clear sky
304,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.86800000000008,64,76,0.45,broken clouds
305,Rio Pomba,BR,-21.2747,-43.1792,79.73600000000008,67,65,1.32,broken clouds
306,Agadez,NE,19.75,10.25,69.99800000000002,23,0,5.27,clear sky
307,Itapirapua,BR,-15.8233,-50.6133,88.44800000000004,40,57,3.18,broken clouds
308,Nhamunda,BR,-2.1861,-56.7131,91.958,39,100,1.82,overcast clouds
309,Solec Kujawski,PL,53.0837,18.2257,51.87200000000004,99,100,2.06,fog
310,Dorado,PR,18.4588,-66.2677,78.18800000000005,96,100,3.41,light rain
311,Chesma,RU,53.8111,60.6533,30.74000000000002,68,84,6.71,broken clouds
312,Sonneberg,DE,50.35,11.1667,61.556000000000026,99,94,1.06,overcast clouds
313,Pilane,BW,-24.45,26.1333,73.958,42,99,1.33,overcast clouds
314,Antofagasta,CL,-23.65,-70.4,63.68000000000004,64,0,2.61,clear sky
315,Azuaga,ES,38.2667,-5.6833,64.958,64,17,1.57,few clouds
316,Maues,BR,-3.3836,-57.7186,96.51200000000006,32,57,1.47,broken clouds
